timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_contaminated;n_patches_removed;n_test;seed;knn_k;percentile_threshold;img_auroc;pix_auroc;pix_aupr;n_masks_found;auroc_delta_vs_clean;recovery_rate;pix_auroc_delta_vs_clean;pix_recovery_rate;inference_time_s
2026-02-18T04:57:59.602147;mvtec_AD/capsule;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;132;3;5;95;0.8456;0.9821;0.5190;109;-0.0319;0.4667;-0.0005;1.8463;2.65
2026-02-18T04:58:14.170745;mvtec_AD/capsule;cont_0pct_none;0.0;none;10;10;0;0;132;4;5;95;0.8333;0.9836;0.5363;109;;;;;3.83
2026-02-18T04:58:30.295781;mvtec_AD/capsule;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;132;4;5;95;0.8361;0.9762;0.2528;109;0.0028;;-0.0075;;5.43
2026-02-18T04:58:41.016388;mvtec_AD/capsule;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;132;4;5;95;0.8333;0.9836;0.5363;109;0.0000;;0.0000;;0.01
2026-02-18T04:58:55.519219;mvtec_AD/capsule;cont_30pct_none;0.3;none;10;10;3;0;132;4;5;95;0.7958;0.9808;0.4980;109;-0.0375;;-0.0028;;3.89
2026-02-18T04:59:11.942893;mvtec_AD/capsule;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;132;4;5;95;0.8097;0.9764;0.2531;109;-0.0235;0.3723;-0.0072;-1.5338;5.71
2026-02-18T04:59:25.219639;mvtec_AD/capsule;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;132;4;5;95;0.8297;0.9821;0.5095;109;-0.0036;0.9043;-0.0015;0.4743;2.61
2026-02-18T04:59:38.913700;mvtec_AD/carpet;cont_0pct_none;0.0;none;10;10;0;0;117;0;5;95;0.9747;0.9955;0.7403;89;;;;;3.30
2026-02-18T04:59:53.005433;mvtec_AD/carpet;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;117;0;5;95;0.9775;0.9955;0.7397;89;0.0028;;-0.0000;;5.20
2026-02-18T05:00:02.044579;mvtec_AD/carpet;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;117;0;5;95;0.9747;0.9955;0.7403;89;0.0000;;0.0000;;0.01
2026-02-18T05:00:14.625258;mvtec_AD/carpet;cont_30pct_none;0.3;none;10;10;3;0;117;0;5;95;0.9442;0.9859;0.5652;89;-0.0305;;-0.0096;;3.37
2026-02-18T05:00:28.872271;mvtec_AD/carpet;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;117;0;5;95;0.9763;0.9956;0.7392;89;0.0016;1.0526;0.0001;1.0103;5.35
2026-02-18T05:00:40.306575;mvtec_AD/carpet;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;117;0;5;95;0.9747;0.9955;0.7407;89;0.0000;1.0000;0.0000;1.0002;2.31
2026-02-18T05:00:52.658522;mvtec_AD/carpet;cont_0pct_none;0.0;none;10;10;0;0;117;1;5;95;0.9743;0.9955;0.7381;89;;;;;3.24
2026-02-18T05:01:06.965573;mvtec_AD/carpet;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;117;1;5;95;0.9811;0.9955;0.7379;89;0.0068;;-0.0000;;5.26
2026-02-18T05:01:16.156517;mvtec_AD/carpet;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;117;1;5;95;0.9743;0.9955;0.7381;89;0.0000;;0.0000;;0.01
2026-02-18T05:01:28.398450;mvtec_AD/carpet;cont_30pct_none;0.3;none;10;10;3;0;117;1;5;95;0.9250;0.9944;0.7255;89;-0.0494;;-0.0011;;3.35
2026-02-18T05:01:42.303760;mvtec_AD/carpet;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;117;1;5;95;0.9603;0.9958;0.7494;89;-0.0140;0.7154;0.0003;1.3024;4.98
2026-02-18T05:01:53.752576;mvtec_AD/carpet;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;117;1;5;95;0.9711;0.9955;0.7374;89;-0.0032;0.9350;0.0000;1.0037;2.37
2026-02-18T05:02:06.132295;mvtec_AD/carpet;cont_0pct_none;0.0;none;10;10;0;0;117;2;5;95;0.9799;0.9954;0.7226;89;;;;;3.36
2026-02-18T05:02:20.452236;mvtec_AD/carpet;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;117;2;5;95;0.9819;0.9954;0.7352;89;0.0020;;0.0000;;5.34
2026-02-18T05:02:29.610254;mvtec_AD/carpet;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;117;2;5;95;0.9799;0.9954;0.7226;89;0.0000;;0.0000;;0.01
2026-02-18T05:02:41.867177;mvtec_AD/carpet;cont_30pct_none;0.3;none;10;10;3;0;117;2;5;95;0.9438;0.9883;0.5788;89;-0.0361;;-0.0071;;3.29
2026-02-18T05:02:56.198195;mvtec_AD/carpet;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;117;2;5;95;0.9655;0.9956;0.7349;89;-0.0144;0.6000;0.0002;1.0225;5.38
2026-02-18T05:03:07.574467;mvtec_AD/carpet;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;117;2;5;95;0.9783;0.9953;0.7181;89;-0.0016;0.9556;-0.0001;0.9914;2.36
2026-02-18T05:03:19.926714;mvtec_AD/carpet;cont_0pct_none;0.0;none;10;10;0;0;117;3;5;95;0.9723;0.9956;0.7476;89;;;;;3.30
2026-02-18T05:03:34.237817;mvtec_AD/carpet;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;117;3;5;95;0.9791;0.9955;0.7418;89;0.0068;;-0.0001;;5.10
